date,is_rd,amount,vendor,quarter,bas_label,is_locked,gst_amount,description,personal_pct,classification_status
2025-07-01,True,0.26,Google,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD WV9WFH GOO CC GOOGLE.COM,0,auto_bas_fy2526
2025-07-01,False,0.26,,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD WV9WFH GOO CC GOOGLE.COM,0,classified
2025-07-01,False,12.94,,Q1 FY25-26,G11,False,1.18,GOOGLE*GSUITE TECH4HUMA CC GOOGLE.COM,0,classified
2025-07-01,True,0.1,Google,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD BZ3XW7 GOO CC GOOGLE.COM,0,auto_bas_fy2526
2025-07-01,False,23.99,Spotify,Q1 FY25-26,G14,False,0,SPOTIFY SYDNEY,0,auto_bas_fy2526
2025-07-01,False,0.17,,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD NX8Z67 GOO CC GOOGLE.COM,0,classified
2025-07-01,True,0.17,Google,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD NX8Z67 GOO CC GOOGLE.COM,0,auto_bas_fy2526
2025-07-01,False,0.1,,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD BZ3XW7 GOO CC GOOGLE.COM,0,classified
2025-07-01,True,12.94,Google,Q1 FY25-26,G3,False,0,GOOGLE*GSUITE TECH4HUMA CC GOOGLE.COM,0,auto_bas_fy2526
2025-07-01,False,23.99,,Q1 FY25-26,G14,False,0,SPOTIFY,0,classified
2025-07-02,True,21.57,AWS,Q1 FY25-26,G3,False,0,AMAZON WEB SERVICES SYDNEY,0,auto_bas_fy2526
2025-07-02,False,21.57,,Q1 FY25-26,G11,False,1.96,AMAZON WEB SERVICES,0,rdti
2025-07-04,False,40,Naked Wines,Q1 FY25-26,G14,False,0,NAKED WINES MANLY Manly,0,auto_bas_fy2526
2025-07-04,False,40,,Q1 FY25-26,G3,False,0,NAKED WINES MANLY              Manly,0,classified
2025-07-05,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-07-05,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-07-06,False,116.15,Pet Insurance,Q1 FY25-26,G3,False,0,PET INSURANCE CHATSWOOD CHATSWOOD,0,auto_bas_fy2526
2025-07-06,False,116.15,,Q1 FY25-26,G3,False,0,PET INSURANCE CHATSWOOD CHATSWOOD,0,classified
2025-07-06,False,79,Amazon Prime,Q1 FY25-26,G3,False,0,AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH,0,auto_bas_fy2526
2025-07-06,False,20.99,,Q1 FY25-26,G14,False,0,DISNEY+ DISNEY+,0,classified
2025-07-06,False,20.99,Disney+,Q1 FY25-26,G14,False,0,DISNEY+ DISNEY+ AUSTRALIA,0,auto_bas_fy2526
2025-07-06,False,79,,Q1 FY25-26,G14,False,0,AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH,0,classified
2025-07-07,True,25,xAI LLC,Q1 FY25-26,G3,False,0,xAI LLC (Grok) subscription,0,auto_bas_fy2526
2025-07-09,False,30.05,,Q1 FY25-26,G3,False,0,MIGADU.COM EMAIL SRVC. SCHACHEN B. REU                      ,0,classified
2025-07-09,False,30.05,Migadu,Q1 FY25-26,G14,False,0,MIGADU.COM EMAIL SRVC. SCHACHEN B. REU 19.00,0,auto_bas_fy2526
2025-07-12,False,78.69,,Q1 FY25-26,G11,False,7.15,UBER EATS             HELP.UBER.COM,0,classified
